name,price_usd,mark_price_usd,star_rating,review_count,colour_encoded,colour_: Army Green,colour_: Baby Pink,colour_: Beige,colour_: Black,colour_: Black Khaki,colour_: Black Purple,colour_: Black and White,colour_: Blue,colour_: Blue Cloth,colour_: Blue and White,colour_: Brown,colour_: Brown and White,colour_: Burgundy,colour_: Burnt Orange,colour_: Camel,colour_: Champagne,colour_: Chocolate Brown,colour_: Clear,colour_: Coffee Brown,colour_: Dark Grey,colour_: Dusty Pink,colour_: Dusty Purple,colour_: Gold,colour_: Green,colour_: Green Shiny Leather,colour_: Grey,colour_: Hot Pink,colour_: Khaki,colour_: Leopard Print,colour_: Mauve Purple,colour_: Medium Cool Black,colour_: Mint Green,colour_: Multicolor,colour_: Navy Blue,colour_: Orange,colour_: Pink,colour_: Pink Brown,colour_: Purple,colour_: Red,colour_: Red Violet,colour_: Red and White,colour_: Rose Gold,colour_: Royal Blue,colour_: Rust Brown,colour_: SILVER/GLITTER,colour_: Silver,colour_: Teal Blue,colour_: Violet Purple,colour_: WHITE,colour_: White,colour_: White Card,colour_: White Pink,colour_: White and Blue,colour_: White/Blue Leaf,colour_: Yellow,colour_: Yellow Blue,colour_: black flip flops,colour_: dark brown
"Women Beige Buckle Decor Flat Sandals, Open Toe Flat Mules for Daily Wear",15.6,19.6,0.0,1000.0,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fashionable Cross Strap Low Heel Sandals With Exposed Heels For Women Beach Sandals,7.3,9.1,0.0,500.0,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Sporty Running Shoes For Women, Two Tone Lace-up Front Sneakers",25.1,31.6,0.0,100.0,33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Women Fashionable And Versatile White Outdoor Sneakers, Star Design, Spring And Summer, Lightweight, Round Toe, Flat Non-Slip Casual Shoes For Sports And Running, With Lace-Up",23.3,29.4,0.0,500.0,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Men Fashionable Colorful Graffiti Design Canvas Sneakers With Front Tie For Comfortable Casual Ice Skating Board Shoes,15.2,20.2,0.0,5.0,53,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Women's Stitched Mark Loafers Spring And Autumn Shallow Casual Shoes,13.09,15.84,0.0,100.0,11,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Women's Casual & Fashionable Sneaker With White Color, Large Size, Breathable, Abrasion Resistant, Hundred Tower Shaped Strap & Round Toe",16.5,20.8,0.0,426.97953488372093,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Women's 2024 New Casual, Comfortable And Lightweight Slip-On, Lace-Up Canvas Sneakers, Perfect For Spring And Summer",14.5,18.3,0.0,23.0,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Women's White Sneakers, Ins Style, Trendy And Versatile, Thick-Soled Canvas Shoes For Students, Suitable For Spring, Summer And Autumn 2024",20.3,25.392143671607748,0.0,426.97953488372093,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Women's Casual Sports Shoes For All Seasons, With Simple, Vintage And Fashionable Design, Comfortable, Breathable And Suitable For Daily Commute And Lightweight Student Shoes.",21.4,27.0,0.0,9.0,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
